File: /data/Ryzhkov/20140302/netcdf/cut_hrrr_20140302-1800F0000.nc
Lat: 35.3331 Lon: 262.722
H0 index: 13 H0_hgt: 3273.91 warm area: 6971.02
H1 index: 7 H1_hgt: 1259.61 cold area: 9318.91
H2 index: -1 H2_hgt: -99900 warm area: -99900
#i      Height      Pressure      Qvapor        Temp      TempWB          RH       Uwind       Vwind
 0    377.3469    97900.0000  1.3980e-03    -10.8222    -11.1433      0.8144  -41408638752161513175434542415085568.0000    -23.8231  
 1    402.7625    97600.0000  1.3980e-03    -11.2356    -11.4400      0.8389      0.0000      0.0000  
 2    447.1722    97100.0000  1.2983e-03    -11.8793    -12.1417      0.8157  -41408599138080256043265745643110400.0000  -441953648640.0000  
 3    520.2382    96200.0000  1.2983e-03    -12.8768    -12.8882      0.8751      0.0000      0.0000  
 4    626.4139    94800.0000  1.1986e-03    -13.8468    -13.8748      0.8608      0.0000  -41408163383186427589408981151383552.0000  
 5    764.8701    93100.0000  1.0988e-03    -14.9657    -14.9978      0.8486      0.0000      0.0000  
 6    932.2271    91100.0000  1.3980e-03    -12.9856    -12.9088      0.9000  -41408084155023913325071387607433216.0000  -41407569171967570606877029571756032.0000  
 7   1127.4421    88800.0000  3.2891e-03     -3.7836     -3.5378      1.0096      0.0000      0.0000  
 8   1354.1497    86300.0000  5.3710e-03      2.4351      2.5306      1.0139      0.0000  -327750778880.0000  
 9   1617.0283    83600.0000  6.1618e-03      4.0418      4.0722      1.0041      0.0000      0.0000  
10   1920.4836    80500.0000  6.0630e-03      6.9221      4.8460      0.7781      0.0000  -328481636352.0000  
11   2267.8220    77200.0000  5.8654e-03      6.7010      4.1141      0.7332      0.0000      0.0000  
12   2661.1731    73600.0000  6.8527e-03      4.4274      4.0651      0.9557  -513724907520.0000  -41408242611348941853746574695333888.0000  
13   3104.5347    69700.0000  6.2803e-03      1.8825      1.8426      0.9947      0.0000      0.0000  
14   3602.4724    65500.0000  3.9245e-03     -2.0707     -3.5744      0.7816  -327855636480.0000  -41408202997267684721577777923358720.0000  
15   4161.4492    61000.0000  2.9314e-03     -4.9285     -7.0193      0.6740      0.0000      0.0000  
16   4774.6768    56400.0000  2.5137e-03     -9.8330    -10.5887      0.7792      0.0000      0.0000  
17   5408.2344    51800.0000  1.9362e-03    -14.6687    -14.9113      0.8111      0.0000      0.0000  
18   6027.0391    47700.0000  1.3781e-03    -19.1839    -19.3733      0.7726      0.0000  -441953648640.0000  
19   6619.9648    44000.0000  1.0689e-03    -22.2731    -22.5321      0.7193      0.0000      0.0000  
20   7190.0859    40800.0000  8.6924e-04    -25.1806    -25.3894      0.6991  7932230375764393984.0000      0.0000  
21   7737.8555    37700.0000  6.3959e-04    -29.2056    -29.3260      0.6821      0.0000      0.0000  
22   8260.5234    35000.0000  4.7178e-04    -33.5785    -33.5633      0.7010  -441953648640.0000      0.0000  
23   8757.2617    32600.0000  3.2290e-04    -37.6964    -37.6871      0.6641      0.0000      0.0000  
24   9228.6797    30400.0000  2.2295e-04    -41.5877    -41.5822      0.6298  -513724907520.0000  -513724907520.0000  
25   9674.8164    28500.0000  1.5298e-04    -45.3966    -45.3916      0.5994      0.0000      0.0000  
26  10099.1914    26800.0000  1.0399e-04    -49.1884    -49.1817      0.5734  -41408282225430198985915371467309056.0000  -329363619840.0000  
27  10505.8828    25100.0000  6.7995e-05    -53.0622    -53.0594      0.5378      0.0000      0.0000  
28  10894.7266    23630.0000  4.9997e-05    -55.9966    -55.9927      0.5193  -327732822016.0000  -329109995520.0000  
29  11275.7266    22270.0000  4.2598e-05    -57.6163    -57.6140      0.5031      0.0000      0.0000  
30  11669.3359    20930.0000  2.9099e-05    -58.8069    -58.8497      0.3714  -328373895168.0000  -328481636352.0000  
31  12087.3594    19580.0000  1.9500e-05    -59.5553    -59.6521      0.2544      0.0000      0.0000  
32  12535.8281    18230.0000  1.6900e-05    -58.3960    -58.5741      0.1790  -41408955664811570232784916590886912.0000      0.0000  
33  13021.7812    16880.0000  1.6000e-05    -57.0436    -57.3239      0.1340      0.0000      0.0000  
34  13549.3281    15520.0000  1.2600e-05    -57.5611    -57.8967      0.1030  -327855636480.0000  -327855636480.0000  
35  14121.4375    14170.0000  8.8999e-06    -59.7367    -60.0495      0.0859      0.0000      0.0000  
36  14744.1680    12830.0000  6.0000e-06    -62.2556    -62.5372      0.0710      0.0000      0.0000  
37  15429.9492    11480.0000  4.8000e-06    -63.8798    -64.1527      0.0621      0.0000      0.0000  
38  16184.8516    10130.0000  4.0800e-06    -63.4447    -63.8075      0.0441      0.0000      0.0000  
39  16968.1055     8870.0000  3.8600e-06    -63.2120    -63.6580      0.0355      0.0000      0.0000  
40  17709.0234     7870.0000  3.7800e-06    -64.7698    -65.1713      0.0374     -0.0000     -0.0000  
41  18401.9141     7040.0000  3.5500e-06    -65.0828    -65.5251      0.0327      0.0000      0.0000  
42  19101.9570     6290.0000  3.6000e-06    -63.8209    -64.4295      0.0253  -441953648640.0000  -441953648640.0000  
43  19840.4844     5570.0000  4.1600e-06    -62.5404    -63.3550      0.0221      0.0000      0.0000  
44  20623.4961     4910.0000  4.8100e-06    -60.2455    -61.5291      0.0171  -513724907520.0000      0.0000  
45  21462.7227     4300.0000  5.2700e-06    -57.4399    -59.6455      0.0118      0.0000      0.0000  
46  22371.8359     3723.0000  5.3300e-06    -56.0766    -59.1970      0.0088  -41408480295836484646759355327184896.0000  -41407965312780141928564997291507712.0000  
47  23362.1094     3188.0000  5.0700e-06    -55.2499    -59.4049      0.0065      0.0000      0.0000  
