File: /data/Ryzhkov/20140302/netcdf/cut_hrrr_20140302-2000F0000.nc
Lat: 35.3331 Lon: 262.722
H0 index: 13 H0_hgt: 3178.36 warm area: 2911.64
H1 index: 8 H1_hgt: 1510.37 cold area: 10764.9
H2 index: -1 H2_hgt: -99900 warm area: -99900
#i      Height      Pressure      Qvapor        Temp      TempWB          RH       Uwind       Vwind
 0    377.3297    98100.0000  1.4978e-03    -10.8786    -10.9492      0.8781     -0.0000    -23.8231  
 1    402.7757    97800.0000  1.4978e-03    -11.0500    -11.0800      0.8873      0.0000      0.0000  
 2    447.2315    97300.0000  1.4978e-03    -11.2580    -11.2441      0.8974     -0.0000     -0.0000  
 3    520.5060    96300.0000  1.3980e-03    -12.0888    -12.0894      0.8857      0.0000      0.0000  
 4    627.0016    95000.0000  1.2983e-03    -13.0681    -13.0654      0.8775      0.0000     -0.0000  
 5    765.8550    93300.0000  1.1986e-03    -14.2456    -14.2172      0.8749      0.0000      0.0000  
 6    933.0522    91200.0000  1.2983e-03    -13.7958    -13.7204      0.8932     -0.0000     -0.0000  
 7   1125.6580    88900.0000  1.9960e-03     -8.9255     -8.9515      0.9094      0.0000      0.0000  
 8   1348.2073    86500.0000  3.4878e-03     -1.1262     -2.0011      0.8564      0.0000     -0.0000  
 9   1607.7092    83800.0000  4.6780e-03      2.0679      1.2012      0.8813      0.0000      0.0000  
10   1906.9810    80700.0000  5.3710e-03      2.6221      2.1449      0.9356      0.0000     -0.0000  
11   2248.8440    77400.0000  5.9642e-03      2.7968      2.6714      0.9832      0.0000      0.0000  
12   2637.5151    73700.0000  6.0630e-03      2.1669      2.1318      0.9953     -0.0000     -0.0000  
13   3077.5283    69900.0000  5.6677e-03      0.5016      0.4688      0.9954      0.0000      0.0000  
14   3574.7783    65600.0000  5.0444e-03     -1.9250     -1.8429      0.9937     -0.0000     -0.0000  
15   4136.3984    61100.0000  4.5690e-03     -4.1906     -3.9782      0.9928      0.0000      0.0000  
16   4755.0073    56500.0000  3.6069e-03     -7.8679     -7.6642      0.9599      0.0000      0.0000  
17   5395.9609    51900.0000  2.5833e-03    -12.2285    -12.1992      0.8902      0.0000      0.0000  
18   6022.9219    47700.0000  1.9562e-03    -16.1363    -16.1263      0.8506      0.0000     -0.0000  
19   6621.8125    44100.0000  1.3382e-03    -21.0423    -21.0124      0.8119      0.0000      0.0000  
20   7193.3906    40800.0000  9.2914e-04    -25.5774    -25.5459      0.7739  7932230375764393984.0000      0.0000  
21   7740.5547    37800.0000  6.6955e-04    -29.6025    -29.5680      0.7423      0.0000      0.0000  
22   8263.1094    35100.0000  4.6978e-04    -33.5236    -33.5175      0.6964     -0.0000      0.0000  
23   8760.3398    32600.0000  3.3189e-04    -37.4247    -37.4176      0.6647      0.0000      0.0000  
24   9232.3633    30500.0000  2.2795e-04    -41.4327    -41.4219      0.6360     -0.0000     -0.0000  
25   9679.1953    28500.0000  1.6097e-04    -45.0250    -45.0163      0.6067      0.0000      0.0000  
26  10105.1562    26800.0000  1.1899e-04    -47.9944    -47.9911      0.5770     -0.0000     -0.0000  
27  10514.8242    25200.0000  8.6992e-05    -51.1160    -51.1109      0.5566      0.0000      0.0000  
28  10906.2773    23650.0000  5.4997e-05    -55.1692    -55.1672      0.5200     -0.0000     -0.0000  
29  11286.6055    22300.0000  3.3999e-05    -59.2844    -59.2827      0.4892      0.0000      0.0000  
30  11675.8281    20950.0000  2.0000e-05    -61.9435    -61.9694      0.3721     -0.0000     -0.0000  
31  12088.9180    19590.0000  2.2999e-05    -61.5735    -61.5988      0.3825      0.0000      0.0000  
32  12535.5430    18240.0000  2.3999e-05    -58.3183    -58.4384      0.2520     -0.0000      0.0000  
33  13023.5273    16890.0000  1.5100e-05    -55.4261    -55.8216      0.1050      0.0000      0.0000  
34  13555.0664    15540.0000  1.1600e-05    -56.0000    -56.4622      0.0793     -0.0000     -0.0000  
35  14130.1641    14200.0000  1.0300e-05    -59.0851    -59.4080      0.0922      0.0000      0.0000  
36  14754.5430    12840.0000  6.5000e-06    -61.8632    -62.1521      0.0734      0.0000      0.0000  
37  15443.0000    11490.0000  4.1000e-06    -62.7968    -63.1448      0.0464      0.0000      0.0000  
38  16198.8516    10140.0000  3.8000e-06    -64.0588    -64.3969      0.0444      0.0000      0.0000  
39  16980.4805     8870.0000  3.6000e-06    -63.6326    -64.0608      0.0349      0.0000      0.0000  
40  17721.9258     7870.0000  3.7000e-06    -64.1496    -64.5960      0.0339     -0.0000     -0.0000  
41  18417.7109     7050.0000  3.6300e-06    -64.0712    -64.5854      0.0295      0.0000      0.0000  
42  19120.2109     6290.0000  3.6600e-06    -63.4599    -64.1005      0.0246     -0.0000     -0.0000  
43  19860.3672     5580.0000  4.1800e-06    -62.1788    -63.0377      0.0213      0.0000      0.0000  
44  20645.0156     4910.0000  4.8200e-06    -59.8817    -61.2375      0.0164     -0.0000      0.0000  
45  21484.6445     4300.0000  5.2200e-06    -57.7187    -59.8416      0.0120      0.0000      0.0000  
46  22392.4492     3726.0000  5.2900e-06    -56.6259    -59.5177      0.0093     -0.0000     -0.0000  
47  23381.0703     3189.0000  5.1000e-06    -55.7256    -59.6167      0.0069      0.0000      0.0000  
