File: /data/Ryzhkov/20140302/netcdf/cut_hrrr_20140302-2300F0000.nc
Lat: 35.3331 Lon: 262.722
H0 index: 11 H0_hgt: 2431.71 warm area: 405.629
H1 index: 9 H1_hgt: 1818.25 cold area: 12616.9
H2 index: -1 H2_hgt: -99900 warm area: -99900
#i      Height      Pressure      Qvapor        Temp      TempWB          RH       Uwind       Vwind
 0    377.3674    98000.0000  1.5974e-03    -10.3717    -10.3830      0.8988  -5270469405325656064.0000    -23.8231  
 1    402.8422    97700.0000  1.4978e-03    -10.7243    -10.8554      0.8639      0.0000      0.0000  
 2    447.3804    97200.0000  1.3980e-03    -11.2624    -11.4726      0.8372  -5270460609232633856.0000     -0.0000  
 3    520.6700    96400.0000  1.3980e-03    -12.2557    -12.2072      0.8984      0.0000      0.0000  
 4    627.1870    94900.0000  1.1986e-03    -13.3421    -13.4995      0.8274      0.0000  -5270363852209389568.0000  
 5    765.8540    93300.0000  1.0988e-03    -14.9381    -14.9712      0.8485      0.0000      0.0000  
 6    932.6870    91200.0000  1.1986e-03    -14.6653    -14.5948      0.8848  -5270346260023345152.0000  -5270231910814056448.0000  
 7   1124.8772    89000.0000  1.8964e-03     -9.6127     -9.5969      0.9127      0.0000      0.0000  
 8   1345.4883    86500.0000  2.9910e-03     -5.0132     -4.8615      0.9813      0.0000     -0.0000  
 9   1601.4485    83700.0000  3.2891e-03     -1.3423     -2.6668      0.7942      0.0000      0.0000  
10   1898.0405    80700.0000  5.0741e-03      1.0517      0.9815      0.9897      0.0000     -0.0000  
11   2237.7253    77300.0000  5.1731e-03      0.9173      0.7486      0.9757      0.0000      0.0000  
12   2622.7349    73700.0000  4.8761e-03     -0.6804     -0.7372      0.9852     -0.0000  -5270381444395433984.0000  
13   3058.0149    69900.0000  4.5789e-03     -1.9575     -2.0731      0.9641      0.0000      0.0000  
14   3550.5359    65600.0000  4.4005e-03     -3.7825     -3.5787      0.9960     -0.0000  -5270372648302411776.0000  
15   4106.1670    61200.0000  3.0109e-03     -6.5249     -7.5356      0.7838      0.0000      0.0000  
16   4718.0059    56400.0000  2.1852e-03     -9.5149    -11.1210      0.6611      0.0000      0.0000  
17   5351.6484    51900.0000  1.7170e-03    -14.7179    -15.4067      0.7238      0.0000      0.0000  
18   5970.3867    47800.0000  1.3582e-03    -19.0529    -19.3224      0.7547      0.0000     -0.0000  
19   6561.7383    44100.0000  7.8938e-04    -23.5462    -24.2028      0.5948      0.0000      0.0000  
20   7126.7188    40800.0000  3.5987e-04    -28.1206    -29.3044      0.3766  7932230375764393984.0000      0.0000  
21   7667.2109    37800.0000  1.4998e-04    -32.4399    -33.9247      0.2164      0.0000      0.0000  
22   8182.7656    35100.0000  8.9992e-05    -36.5747    -37.7784      0.1787     -0.0000      0.0000  
23   8672.9023    32700.0000  8.9992e-05    -40.7567    -41.3634      0.2515      0.0000      0.0000  
24   9138.2188    30500.0000  6.6996e-05    -44.4454    -44.8628      0.2545     -0.0000     -0.0000  
25   9579.8242    28600.0000  3.6999e-05    -47.1361    -47.5985      0.1748      0.0000      0.0000  
26  10002.7422    26800.0000  2.2000e-05    -48.9234    -49.4487      0.1179  -5270390240488456192.0000     -0.0000  
27  10412.3984    25200.0000  2.0000e-05    -50.1078    -50.6009      0.1146      0.0000      0.0000  
28  10808.1914    23680.0000  2.2000e-05    -51.0826    -51.5087      0.1318     -0.0000     -0.0000  
29  11198.5000    22330.0000  2.3999e-05    -51.9794    -52.3486      0.1497      0.0000      0.0000  
30  11602.6836    20970.0000  2.2899e-05    -52.9817    -53.3276      0.1500     -0.0000     -0.0000  
31  12031.7852    19620.0000  1.9400e-05    -54.1366    -54.4812      0.1353      0.0000      0.0000  
32  12488.9727    18270.0000  1.5100e-05    -55.5189    -55.8670      0.1148  -5270539774069833728.0000      0.0000  
33  12979.0273    16910.0000  1.1300e-05    -56.3099    -56.7074      0.0871      0.0000      0.0000  
34  13508.4609    15560.0000  7.2999e-06    -56.9353    -57.4247      0.0557     -0.0000     -0.0000  
35  14084.1328    14200.0000  4.3000e-06    -57.8848    -58.4590      0.0334      0.0000      0.0000  
36  14713.5117    12850.0000  3.7000e-06    -59.7404    -60.2515      0.0324      0.0000      0.0000  
37  15406.5156    11490.0000  3.6000e-06    -62.1248    -62.5312      0.0376      0.0000      0.0000  
38  16165.0039    10140.0000  2.7000e-06    -63.3733    -63.7989      0.0290      0.0000      0.0000  
39  16947.5703     8880.0000  2.5000e-06    -63.9046    -64.3684      0.0251      0.0000      0.0000  
40  17689.0703     7880.0000  3.3000e-06    -63.8957    -64.3783      0.0293     -0.0000     -0.0000  
41  18385.0703     7060.0000  3.8000e-06    -64.3059    -64.7929      0.0319      0.0000      0.0000  
42  19087.3398     6300.0000  4.2900e-06    -63.5085    -64.1114      0.0291     -0.0000     -0.0000  
43  19828.8242     5580.0000  4.7900e-06    -61.5204    -62.4344      0.0225      0.0000      0.0000  
44  20613.5625     4917.1045  4.9700e-06    -60.6752    -61.8645      0.0186     -0.0000      0.0000  
45  21449.4883     4300.0000  5.2900e-06    -59.0850    -60.8151      0.0143      0.0000      0.0000  
46  22354.7812     3728.0000  5.4000e-06    -56.7577    -59.5817      0.0097  -5270434220953567232.0000  -5270319871744278528.0000  
47  23344.7383     3190.0000  4.8900e-06    -55.2626    -59.4375      0.0063      0.0000      0.0000  
